sample_id,tool,file,line,col,rule,severity,message,layer,context,label,notes
92,validate-actions,B_iterative_cml-playground_cml-1344.yml,26,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   24:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   25:       - name: Standard CML setup\n>  26:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   27:         uses: iterative/setup-cml@v1\n   28:         with:,TP,outdated / unpinned action
93,actionlint,B_iterative_cml-playground_cml-1344.yml,19,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   17:     runs-on: ubuntu-latest\n   18:     steps:\n>  19:       - uses: actions/checkout@v3\n   20:       - name: Test a CML Branch\n   21:         id: cml-setup,TP,deprecated Node runner version
94,validate-actions,B_iterative_cml-playground_cml-575.yml,19,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   17:     environment: test\n   18:     runs-on: ubuntu-latest\n>  19:     steps:\n   20:       - uses: actions/checkout@v3\n   21:       - name: Test a CML Branch,TP,outdated / unpinned action
95,validate-actions,B_iterative_cml-playground_cml-575.yml,27,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   25:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   26:       - name: Standard CML setup\n>  27:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   28:         uses: iterative/setup-cml@v1\n   29:         with:,TP,outdated / unpinned action
96,validate-actions,B_iterative_cml-playground_cml-575.yml,30,8,action-version,warning,Action aws-actions/configure-aws-credentials uses v1 (resolves to v1.7.0) which is major version outdated. Current latest is v6.1.0.,registry,   28:         uses: iterative/setup-cml@v1\n   29:         with:\n>  30:           version: latest\n   31:       - uses: aws-actions/configure-aws-credentials@v1\n   32:         with:,TP,outdated / unpinned action
97,validate-actions,B_iterative_cml-playground_cml-575.yml,51,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,"   49:     runs-on: [self-hosted, reuse-idle-test]\n   50:     environment: test\n>  51:     steps:\n   52:       - uses: actions/checkout@v3\n   53:       - name: CML Version Test",TP,outdated / unpinned action
98,validate-actions,B_iterative_cml-playground_cml-575.yml,60,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   58:     environment: test\n   59:     runs-on: ubuntu-latest\n>  60:     steps:\n   61:       - uses: actions/checkout@v3\n   62:       - name: Test a CML Branch,TP,outdated / unpinned action
99,validate-actions,B_iterative_cml-playground_cml-575.yml,68,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   66:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   67:       - name: Standard CML setup\n>  68:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   69:         uses: iterative/setup-cml@v1\n   70:         with:,TP,outdated / unpinned action
100,validate-actions,B_iterative_cml-playground_cml-575.yml,71,8,action-version,warning,Action aws-actions/configure-aws-credentials uses v1 (resolves to v1.7.0) which is major version outdated. Current latest is v6.1.0.,registry,   69:         uses: iterative/setup-cml@v1\n   70:         with:\n>  71:           version: latest\n   72:       - uses: aws-actions/configure-aws-credentials@v1\n   73:         with:,TP,outdated / unpinned action
101,validate-actions,B_iterative_cml-playground_cml-575.yml,85,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,"   83:     runs-on: [self-hosted, negitive-reuse-idle-test]\n   84:     environment: test\n>  85:     steps:\n   86:       - uses: actions/checkout@v3\n   87:       - name: CML Version Test",TP,outdated / unpinned action
102,validate-actions,B_iterative_cml-playground_cml-575.yml,97,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   95:     runs-on: ubuntu-latest\n   96:     environment: test\n>  97:     steps:\n   98:       - uses: actions/checkout@v3\n   99:       - name: Test a CML Branch,TP,outdated / unpinned action
103,validate-actions,B_iterative_cml-playground_cml-575.yml,105,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,  103:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n  104:       - name: Standard CML setup\n> 105:         if: ${{ steps.cml-setup.outcome != 'success' }}\n  106:         uses: iterative/setup-cml@v1\n  107:         with:,TP,outdated / unpinned action
104,validate-actions,B_iterative_cml-playground_cml-575.yml,110,8,action-version,warning,Action aws-actions/configure-aws-credentials uses v1 (resolves to v1.7.0) which is major version outdated. Current latest is v6.1.0.,registry,  108:           version: latest\n  109:       - name: Spin for 1 minute\n> 110:         run: sleep 60\n  111:       - uses: aws-actions/configure-aws-credentials@v1\n  112:         with:,TP,outdated / unpinned action
105,validate-actions,B_iterative_cml-playground_cml-575.yml,123,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,  121:     needs: [test-negitive-reuse-idle-2]\n  122:     runs-on: [negitive-reuse-idle-test]\n> 123:     steps:\n  124:       - uses: actions/checkout@v3\n  125:       - name: CML Version Test,TP,outdated / unpinned action
106,actionlint,B_iterative_cml-playground_cml-575.yml,20,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   18:     runs-on: ubuntu-latest\n   19:     steps:\n>  20:       - uses: actions/checkout@v3\n   21:       - name: Test a CML Branch\n   22:         id: cml-setup,TP,deprecated Node runner version
107,actionlint,B_iterative_cml-playground_cml-575.yml,31,15,action,error,"the runner of ""aws-actions/configure-aws-credentials@v1"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   29:         with:\n   30:           version: latest\n>  31:       - uses: aws-actions/configure-aws-credentials@v1\n   32:         with:\n   33:           role-to-assume: arn:aws:iam::342840881361:role/SandboxUser,TP,deprecated Node runner version
108,actionlint,B_iterative_cml-playground_cml-575.yml,49,28,runner-label,error,"label ""reuse-idle-test"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file",schema,"   47:   test-reuse-idle:\n   48:     needs: [reuse-idle]\n>  49:     runs-on: [self-hosted, reuse-idle-test]\n   50:     environment: test\n   51:     steps:",FP,actionlint lacks self-hosted label config; custom labels are valid
109,actionlint,B_iterative_cml-playground_cml-575.yml,52,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   50:     environment: test\n   51:     steps:\n>  52:       - uses: actions/checkout@v3\n   53:       - name: CML Version Test\n   54:         run: |,TP,deprecated Node runner version
110,actionlint,B_iterative_cml-playground_cml-575.yml,61,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   59:     runs-on: ubuntu-latest\n   60:     steps:\n>  61:       - uses: actions/checkout@v3\n   62:       - name: Test a CML Branch\n   63:         id: cml-setup,TP,deprecated Node runner version
111,actionlint,B_iterative_cml-playground_cml-575.yml,72,15,action,error,"the runner of ""aws-actions/configure-aws-credentials@v1"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   70:         with:\n   71:           version: latest\n>  72:       - uses: aws-actions/configure-aws-credentials@v1\n   73:         with:\n   74:           role-to-assume: arn:aws:iam::342840881361:role/SandboxUser,TP,deprecated Node runner version
112,actionlint,B_iterative_cml-playground_cml-575.yml,83,28,runner-label,error,"label ""negitive-reuse-idle-test"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file",schema,"   81:   test-negitive-reuse-idle:\n   82:     needs: [negitive-reuse-idle]\n>  83:     runs-on: [self-hosted, negitive-reuse-idle-test]\n   84:     environment: test\n   85:     steps:",FP,actionlint lacks self-hosted label config; custom labels are valid
113,actionlint,B_iterative_cml-playground_cml-575.yml,86,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   84:     environment: test\n   85:     steps:\n>  86:       - uses: actions/checkout@v3\n   87:       - name: CML Version Test\n   88:         run: |,TP,deprecated Node runner version
114,actionlint,B_iterative_cml-playground_cml-575.yml,98,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   96:     environment: test\n   97:     steps:\n>  98:       - uses: actions/checkout@v3\n   99:       - name: Test a CML Branch\n  100:         id: cml-setup,TP,deprecated Node runner version
115,actionlint,B_iterative_cml-playground_cml-575.yml,111,15,action,error,"the runner of ""aws-actions/configure-aws-credentials@v1"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,  109:       - name: Spin for 1 minute\n  110:         run: sleep 60\n> 111:       - uses: aws-actions/configure-aws-credentials@v1\n  112:         with:\n  113:           role-to-assume: arn:aws:iam::342840881361:role/SandboxUser,TP,deprecated Node runner version
116,actionlint,B_iterative_cml-playground_cml-575.yml,122,15,runner-label,error,"label ""negitive-reuse-idle-test"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file",schema,  120:   test-negitive-reuse-idle-3:\n  121:     needs: [test-negitive-reuse-idle-2]\n> 122:     runs-on: [negitive-reuse-idle-test]\n  123:     steps:\n  124:       - uses: actions/checkout@v3,FP,actionlint lacks self-hosted label config; custom labels are valid
117,actionlint,B_iterative_cml-playground_cml-575.yml,124,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,  122:     runs-on: [negitive-reuse-idle-test]\n  123:     steps:\n> 124:       - uses: actions/checkout@v3\n  125:       - name: CML Version Test\n  126:         run: |,TP,deprecated Node runner version
118,validate-actions,B_iterative_cml-playground_tpi-621.yml,19,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   17:     environment: test\n   18:     runs-on: ubuntu-latest\n>  19:     steps:\n   20:       - uses: actions/checkout@v3\n   21:       - name: Test a CML Branch,TP,outdated / unpinned action
119,validate-actions,B_iterative_cml-playground_tpi-621.yml,27,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   25:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   26:       - name: Standard CML setup\n>  27:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   28:         uses: iterative/setup-cml@v1\n   29:         with:,TP,outdated / unpinned action
120,validate-actions,B_iterative_cml-playground_tpi-621.yml,30,8,action-version,warning,Action aws-actions/configure-aws-credentials uses v1 (resolves to v1.7.0) which is major version outdated. Current latest is v6.1.0.,registry,   28:         uses: iterative/setup-cml@v1\n   29:         with:\n>  30:           version: latest\n   31:       - uses: aws-actions/configure-aws-credentials@v1\n   32:         with:,TP,outdated / unpinned action
121,validate-actions,B_iterative_cml-playground_tpi-621.yml,44,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,"   42:     runs-on: [self-hosted, aws-test]\n   43:     environment: test\n>  44:     steps:\n   45:       - uses: actions/checkout@v3\n   46:       - name: Check an APT install",TP,outdated / unpinned action
122,validate-actions,B_iterative_cml-playground_tpi-621.yml,58,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   56:     environment: test\n   57:     runs-on: ubuntu-latest\n>  58:     steps:\n   59:       - uses: actions/checkout@v3\n   60:       - name: Test a CML Branch,TP,outdated / unpinned action
123,validate-actions,B_iterative_cml-playground_tpi-621.yml,66,8,action-version,warning,Action iterative/setup-cml uses v1 (resolves to v1.2.5) which is major version outdated. Current latest is v2.0.1.,registry,   64:           npm install -g canvas@2 vega@5 vega-cli@5 vega-lite@5 github:iterative/cml#${{ inputs.branch || 'master' }}\n   65:       - name: Standard CML setup\n>  66:         if: ${{ steps.cml-setup.outcome != 'success' }}\n   67:         uses: iterative/setup-cml@v1\n   68:         with:,TP,outdated / unpinned action
124,validate-actions,B_iterative_cml-playground_tpi-621.yml,70,8,action-version,warning,Action google-github-actions/auth uses v0 (resolves to v0.9.0) which is major version outdated. Current latest is v3.0.0.,registry,   68:         with:\n   69:           version: latest\n>  70:       - name: 'Authenticate to Google Cloud'\n   71:         uses: 'google-github-actions/auth@v0'\n   72:         with:,TP,outdated / unpinned action
125,validate-actions,B_iterative_cml-playground_tpi-621.yml,83,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,"   81:     runs-on: [self-hosted, gcp-test]\n   82:     environment: test\n>  83:     steps:\n   84:       - uses: actions/checkout@v3\n   85:       - name: Check an APT install",TP,outdated / unpinned action
126,actionlint,B_iterative_cml-playground_tpi-621.yml,20,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   18:     runs-on: ubuntu-latest\n   19:     steps:\n>  20:       - uses: actions/checkout@v3\n   21:       - name: Test a CML Branch\n   22:         id: cml-setup,TP,deprecated Node runner version
127,actionlint,B_iterative_cml-playground_tpi-621.yml,31,15,action,error,"the runner of ""aws-actions/configure-aws-credentials@v1"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   29:         with:\n   30:           version: latest\n>  31:       - uses: aws-actions/configure-aws-credentials@v1\n   32:         with:\n   33:           role-to-assume: arn:aws:iam::342840881361:role/SandboxUser,TP,deprecated Node runner version
128,actionlint,B_iterative_cml-playground_tpi-621.yml,42,28,runner-label,error,"label ""aws-test"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file",schema,"   40:   test-aws:\n   41:     needs: [aws]\n>  42:     runs-on: [self-hosted, aws-test]\n   43:     environment: test\n   44:     steps:",FP,actionlint lacks self-hosted label config; custom labels are valid
129,actionlint,B_iterative_cml-playground_tpi-621.yml,45,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   43:     environment: test\n   44:     steps:\n>  45:       - uses: actions/checkout@v3\n   46:       - name: Check an APT install\n   47:         run: |,TP,deprecated Node runner version
130,actionlint,B_iterative_cml-playground_tpi-621.yml,59,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   57:     runs-on: ubuntu-latest\n   58:     steps:\n>  59:       - uses: actions/checkout@v3\n   60:       - name: Test a CML Branch\n   61:         id: cml-setup,TP,deprecated Node runner version
131,actionlint,B_iterative_cml-playground_tpi-621.yml,81,28,runner-label,error,"label ""gcp-test"" is unknown. available labels are ""windows-latest"", ""windows-latest-8-cores"", ""windows-2025"", ""windows-2022"", ""windows-2019"", ""ubuntu-latest"", ""ubuntu-latest-4-cores"", ""ubuntu-latest-8-cores"", ""ubuntu-latest-16-cores"", ""ubuntu-24.04"", ""ubuntu-24.04-arm"", ""ubuntu-22.04"", ""ubuntu-22.04-arm"", ""ubuntu-20.04"", ""macos-latest"", ""macos-latest-xl"", ""macos-latest-xlarge"", ""macos-latest-large"", ""macos-15-xlarge"", ""macos-15-large"", ""macos-15"", ""macos-14-xl"", ""macos-14-xlarge"", ""macos-14-large"", ""macos-14"", ""macos-13-xl"", ""macos-13-xlarge"", ""macos-13-large"", ""macos-13"", ""self-hosted"", ""x64"", ""arm"", ""arm64"", ""linux"", ""macos"", ""windows"". if it is a custom label for self-hosted runner, set list of labels in actionlint.yaml config file",schema,"   79:   test-gcp:\n   80:     needs: [gcp]\n>  81:     runs-on: [self-hosted, gcp-test]\n   82:     environment: test\n   83:     steps:",FP,actionlint lacks self-hosted label config; custom labels are valid
132,actionlint,B_iterative_cml-playground_tpi-621.yml,84,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   82:     environment: test\n   83:     steps:\n>  84:       - uses: actions/checkout@v3\n   85:       - name: Check an APT install\n   86:         run: |,TP,deprecated Node runner version
133,validate-actions,B_iterative_cml_images.yml,32,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   30:             base: 1\n   31:             dvc: 3\n>  32:     steps:\n   33:       - uses: actions/checkout@v3\n   34:         with:,TP,outdated / unpinned action
134,validate-actions,B_iterative_cml_images.yml,86,8,action-version,warning,Action docker/setup-buildx-action uses v2 (resolves to v2.10.0) which is major version outdated. Current latest is v4.0.0.,registry,"   84:           echo ""tags<<${delim}"" >> $GITHUB_OUTPUT\n   85:           echo ""${TAGS}"" >> $GITHUB_OUTPUT\n>  86:           echo ""${delim}"" >> $GITHUB_OUTPUT\n   87:       - uses: docker/setup-buildx-action@v2\n   88:       - uses: actions/cache@v3",TP,outdated / unpinned action
135,validate-actions,B_iterative_cml_images.yml,87,8,action-version,warning,Action actions/cache uses v3 (resolves to v3.5.0) which is major version outdated. Current latest is v5.0.5.,registry,"   85:           echo ""${TAGS}"" >> $GITHUB_OUTPUT\n   86:           echo ""${delim}"" >> $GITHUB_OUTPUT\n>  87:       - uses: docker/setup-buildx-action@v2\n   88:       - uses: actions/cache@v3\n   89:         with:",TP,outdated / unpinned action
136,validate-actions,B_iterative_cml_images.yml,95,8,action-version,warning,Action docker/login-action uses v2 (resolves to v2.2.0) which is major version outdated. Current latest is v4.1.0.,registry,   93:             github.sha }}\n   94:           restore-keys:\n>  95:             ${{ runner.os }}-buildx-${{ steps.metadata.outputs.cache_tag }}-\n   96:       - uses: docker/login-action@v2\n   97:         with:,TP,outdated / unpinned action
137,validate-actions,B_iterative_cml_images.yml,100,8,action-version,warning,Action docker/login-action uses v2 (resolves to v2.2.0) which is major version outdated. Current latest is v4.1.0.,registry,   98:           registry: docker.io\n   99:           username: ${{ vars.DOCKERHUB_USERNAME }}\n> 100:           password: ${{ secrets.DOCKERHUB_PASSWORD }}\n  101:       - uses: docker/login-action@v2\n  102:         with:,TP,outdated / unpinned action
138,validate-actions,B_iterative_cml_images.yml,105,8,action-version,warning,Action docker/build-push-action uses outdated v3 which cannot be resolved to any available version. Current latest is v7.1.0.,registry,  103:           registry: ghcr.io\n  104:           username: ${{ github.repository_owner }}\n> 105:           password: ${{ github.token }}\n  106:       - uses: docker/build-push-action@v3\n  107:         with:,TP,outdated / unpinned action
139,actionlint,B_iterative_cml_images.yml,33,15,action,error,"the runner of ""actions/checkout@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   31:             dvc: 3\n   32:     steps:\n>  33:       - uses: actions/checkout@v3\n   34:         with:\n   35:           ref: ${{ github.event.pull_request.head.sha || github.ref }},TP,deprecated Node runner version
140,actionlint,B_iterative_cml_images.yml,87,15,action,error,"the runner of ""docker/setup-buildx-action@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,"   85:           echo ""${TAGS}"" >> $GITHUB_OUTPUT\n   86:           echo ""${delim}"" >> $GITHUB_OUTPUT\n>  87:       - uses: docker/setup-buildx-action@v2\n   88:       - uses: actions/cache@v3\n   89:         with:",TP,deprecated Node runner version
141,actionlint,B_iterative_cml_images.yml,88,15,action,error,"the runner of ""actions/cache@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,"   86:           echo ""${delim}"" >> $GITHUB_OUTPUT\n   87:       - uses: docker/setup-buildx-action@v2\n>  88:       - uses: actions/cache@v3\n   89:         with:\n   90:           path: /tmp/.buildx-cache",TP,deprecated Node runner version
142,actionlint,B_iterative_cml_images.yml,96,15,action,error,"the runner of ""docker/login-action@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   94:           restore-keys:\n   95:             ${{ runner.os }}-buildx-${{ steps.metadata.outputs.cache_tag }}-\n>  96:       - uses: docker/login-action@v2\n   97:         with:\n   98:           registry: docker.io,TP,deprecated Node runner version
143,actionlint,B_iterative_cml_images.yml,101,15,action,error,"the runner of ""docker/login-action@v2"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,   99:           username: ${{ vars.DOCKERHUB_USERNAME }}\n  100:           password: ${{ secrets.DOCKERHUB_PASSWORD }}\n> 101:       - uses: docker/login-action@v2\n  102:         with:\n  103:           registry: ghcr.io,TP,deprecated Node runner version
144,actionlint,B_iterative_cml_images.yml,106,15,action,error,"the runner of ""docker/build-push-action@v3"" action is too old to run on GitHub Actions. update the action's version to fix this issue",registry,  104:           username: ${{ github.repository_owner }}\n  105:           password: ${{ github.token }}\n> 106:       - uses: docker/build-push-action@v3\n  107:         with:\n  108:           push:,TP,deprecated Node runner version
145,validate-actions,B_iterative_setup-cml_check.yml,15,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   13:   verify:\n   14:     runs-on: ubuntu-latest\n>  15:     steps:\n   16:       - uses: actions/checkout@v3\n   17:       - run: |,TP,outdated / unpinned action
146,validate-actions,B_iterative_setup-cml_check.yml,35,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   33:           - windows-latest\n   34:     runs-on: ${{ matrix.system }}\n>  35:     steps:\n   36:       - uses: actions/checkout@v3\n   37:       - name: run action with latest,TP,outdated / unpinned action
147,validate-actions,B_iterative_setup-cml_check.yml,37,8,marketplace,warning,Couldn't fetch metadata for ./. Continuing validation without input validation.,registry,   35:     steps:\n   36:       - uses: actions/checkout@v3\n>  37:       - name: run action with latest\n   38:         uses: ./\n   39:       - name: test,INFRA,network: no GH_TOKEN; not a validation finding
148,validate-actions,B_iterative_setup-cml_check.yml,37,8,marketplace,warning,Couldn't fetch version tags for ./. Continuing without version validation.,registry,   35:     steps:\n   36:       - uses: actions/checkout@v3\n>  37:       - name: run action with latest\n   38:         uses: ./\n   39:       - name: test,INFRA,network: no GH_TOKEN; not a validation finding
149,validate-actions,B_iterative_setup-cml_check.yml,37,8,action-version,warning,Using specific version of ./ is recommended. Consider using ./@version,registry,   35:     steps:\n   36:       - uses: actions/checkout@v3\n>  37:       - name: run action with latest\n   38:         uses: ./\n   39:       - name: test,FP,local action path ./ has no version concept
150,validate-actions,B_iterative_setup-cml_check.yml,60,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   58:           - windows-latest\n   59:     runs-on: ${{ matrix.system }}\n>  60:     steps:\n   61:       - uses: actions/checkout@v3\n   62:       - name: run action with latest,TP,outdated / unpinned action
151,validate-actions,B_iterative_setup-cml_check.yml,62,8,marketplace,warning,Couldn't fetch metadata for ./. Continuing validation without input validation.,registry,   60:     steps:\n   61:       - uses: actions/checkout@v3\n>  62:       - name: run action with latest\n   63:         uses: ./\n   64:         with:,INFRA,network: no GH_TOKEN; not a validation finding
152,validate-actions,B_iterative_setup-cml_check.yml,62,8,marketplace,warning,Couldn't fetch version tags for ./. Continuing without version validation.,registry,   60:     steps:\n   61:       - uses: actions/checkout@v3\n>  62:       - name: run action with latest\n   63:         uses: ./\n   64:         with:,INFRA,network: no GH_TOKEN; not a validation finding
153,validate-actions,B_iterative_setup-cml_check.yml,62,8,action-version,warning,Using specific version of ./ is recommended. Consider using ./@version,registry,   60:     steps:\n   61:       - uses: actions/checkout@v3\n>  62:       - name: run action with latest\n   63:         uses: ./\n   64:         with:,FP,local action path ./ has no version concept
154,validate-actions,B_iterative_setup-cml_check.yml,84,8,action-version,warning,Action actions/checkout uses v3 (resolves to v3.6.0) which is major version outdated. Current latest is v6.0.2.,registry,   82:           - windows-latest\n   83:     runs-on: ${{ matrix.system }}\n>  84:     steps:\n   85:       - uses: actions/checkout@v3\n   86:       - name: run action with latest,TP,outdated / unpinned action
155,validate-actions,B_iterative_setup-cml_check.yml,86,8,marketplace,warning,Couldn't fetch metadata for ./. Continuing validation without input validation.,registry,   84:     steps:\n   85:       - uses: actions/checkout@v3\n>  86:       - name: run action with latest\n   87:         uses: ./\n   88:         with:,INFRA,network: no GH_TOKEN; not a validation finding
156,validate-actions,B_iterative_setup-cml_check.yml,86,8,marketplace,warning,Couldn't fetch version tags for ./. Continuing without version validation.,registry,   84:     steps:\n   85:       - uses: actions/checkout@v3\n>  86:       - name: run action with latest\n   87:         uses: ./\n   88:         with:,INFRA,network: no GH_TOKEN; not a validation finding
